ID,Latency
bdc0aee5-0718-4988-a4d9-993e7d95cb4f,307
8f436d8b-0202-4539-b037-4f6ff1a0bed7,442
0246e7f0-d02a-43a1-b8ab-84408da2d8be,319
e2582cf2-0914-4a02-b729-11aa9529cc46,295
31991f8b-6bde-4597-aab7-8f5e88444b06,609
aa470c08-b440-4d8d-802b-4467202755e7,727
8b73f80a-2e1e-45e7-b970-a45212884d96,551
abf5a5ea-6276-44e9-bb3b-9f04f311f6ac,412
0184418a-10d0-4826-9b5b-36704e03b10b,619
5bfbb924-6ecb-49d5-8717-2855e88b3c75,268
eb333e70-73e5-427f-877b-6410a3fa56b7,496
9db16dc7-c562-48c2-a9cb-27462109b001,302
2b7c9057-faef-4af4-87e3-6a3f4d432d45,290
226d1e2e-b1c0-437f-9ee9-22696cea05bf,523
ed05ff65-aad3-4764-9132-48ea97f24e53,388
e0d79234-0c11-4438-bed2-81f7c77b2601,460
3a835c02-c0e1-421f-936b-34e9448c11f9,414
35281bb3-d63c-45c8-a686-87ba575907ff,410
0607ea0d-8d12-4783-a6fe-63c730d78263,442
e5ef1571-4ff4-497f-8931-b9ab9ccd75e1,389
c7ec4689-9ec4-462c-b0e6-c4d76b412efc,388
63fde4e2-0515-429f-a4bf-6da49bff5edc,565
216f166c-93fa-4aad-8e2e-3dc86b901af9,611
bb08369d-725b-44c7-a08f-b8a520be25cb,682
a2e82521-0a53-4363-90a6-019964c97441,557
03961540-c4c9-48f9-bb30-668fabac0dac,278
77aafa5f-5b18-44c9-8ea8-125682e87262,520
fdf13228-8500-4def-93b4-6c38f47a1e76,346
a7a9c0f0-bb70-4589-b6af-98f12cce7adb,708
35f94196-b6ef-424a-a890-3ff71ef62886,351
f5a9a10b-0aaa-4d72-8980-98954f87ac1d,716
6dc4ed4d-7ba1-41a4-899a-a7315123d3ae,424
e4f43f82-ccae-4f96-af5c-93576f06aa59,392
5afc1dee-adb2-4475-b3c8-86f2b877dbcd,537
f78bbbf6-aacd-4a2c-892f-d0885e06b60b,663
d4026549-3c7c-4510-9afc-cc79084aaa37,493
6924251c-715f-4fbb-90ad-1afb53134303,480
fef5caaf-d91a-443b-ac9d-b2ca7dc27960,548
857eab02-4bfc-4eb6-b969-ece85de77423,271
a28e425b-f9b3-4b11-b5db-73693e70b11c,275
b4ef5200-a568-4d54-8ce4-aa799f7b4bcc,309
f38d42d2-e941-42b3-a34c-6cadfddacd6b,457
a2273ea2-a401-445f-a306-1ea25e6d9a8b,577
3eb1b5e1-7620-43d7-af60-e9e9e80cec1d,695
839ca4f5-3ada-4655-8e25-5c7f6cdf5743,507
e91a597c-b197-48a0-bc1a-83170783013f,541
1ea0f02d-d598-40dd-bd00-73b95e6988df,269
430c1fab-4e77-43fd-aed7-da80bc659359,563
07a49cdb-9c39-405a-b3e5-ed0e1f9b5d69,278
c942e643-610e-4e8b-94eb-5475aab18032,454
6cd0c874-f359-4356-b866-a5e113c9966f,420
a89b7ccb-9a9c-4b9d-9b04-c5927dbed1a4,533
d46cd910-d3d9-4496-afbd-3059f11cbc9b,316
